utterance_token_list;Paragraph;predicted_labels;confidences;Speaker;Gender;Party;Interjector;Interjector Party;Interjector Gender;Filename;true_label;utterance
['Gut', ',', 'dass', 'das', 'die', 'letzte', 'Rede', 'ist', '!'];Gut, dass das die letzte Rede ist!;['Macro'];[0.7225063443183899];Armin-Paulus Hampel;männlich;AfD;Britta Haßelmann;GRUENE;weiblich;BT_19_235.xml;['Evaluation'];true
['Die', 'Zeit', 'ist', 'abgelaufen', '!'];Die Zeit ist abgelaufen!;['Macro'];[0.827701210975647];Albrecht Glaser;männlich;AfD;Britta Haßelmann;GRUENE;weiblich;BT_19_235.xml;;
['Nach', 'Ihrer', 'Rede', 'muss'];Also was war jetzt der Fehler? Nach Ihrer Rede muss alles super gelaufen sein!;['Macro'];[0.8897091746330261];Nina Warken;weiblich;CDU/CSU;Stefan Gelbhaar;GRUENE;männlich;BT_19_235.xml;;
['Jetzt', 'mal', 'zum', 'Thema', '!'];Jetzt mal zum Thema!;['Macro'];[0.9610102772712708];Michael Frieser;männlich;CDU/CSU;Stefan Gelbhaar;GRUENE;männlich;BT_19_235.xml;;
['Reden'];Reden Sie über sich?;['Macro'];[0.6562814116477966];Michael Frieser;männlich;CDU/CSU;Oliver Krischer;GRUENE;männlich;BT_19_235.xml;;
['Was', '?'];Was?;['Question-All'];[0.7603423595428467];Alice Weidel;weiblich;AfD;Claudia Roth;GRUENE;weiblich;BT_19_236.xml;['Question-All'];true
['Alleine', '?'];Alleine?;['Question-All'];[0.5620326995849609];Johann Saathoff;männlich;SPD;Stefan Müller;CDU/CSU;männlich;BT_19_236.xml;['Question-All'];true
['SPD', ']', ':'];Lieber Himmel! -Timon Gremmels [SPD]: So ein Blödsinn!;['Macro'];[0.6363376975059509];Karsten Hilse;männlich;AfD;Marianne Schieder;SPD;weiblich;BT_19_236.xml;xml fehler;xml fehler
['Wie', 'teuer', 'wird', 'die', 'Solarpflicht', ',', 'und', 'wo', 'ist', 'die', 'im', 'Haushalt', 'eingeplant', '?'];Wie teuer würden die denn? Mach doch einmal ein Preisschild daran! Wie teuer wird die Solarpflicht, und wo ist die im Haushalt eingeplant? Seid doch mal ehrlich! Mein Gott!;['Question-All'];[0.675824761390686];Lisa Badum;weiblich;GRUENE;Dr. Lukas Köhler;FDP;männlich;BT_19_236.xml;['Question-All'];false
['Was', '?'];Was?;['Question-All'];[0.7603422999382019];Helge Lindh;männlich;SPD;Andreas Bleck;AfD;männlich;BT_19_236.xml;['Question-All'];true
['Was', '?'];Was?;['Question-All'];[0.7603423595428467];Philipp Amthor;männlich;CDU/CSU;Renate Künast;GRUENE;weiblich;BT_19_236.xml;['Question-All'];true
['In', 'Myanmar', 'gibt', 'es', 'auch', 'Tote', '!'];In Myanmar gibt es auch Tote!;['Report'];[0.6148151159286499];Elisabeth Motschmann;weiblich;CDU/CSU;Heike Hänsel;DIE LINKE;weiblich;BT_19_236.xml;['Report'];true
['Mann', ',', 'Christoph', ',', 'hör', 'doch', 'auf', ',', 'so', 'einen', 'Mist', 'zu', 'erzählen', '!'];Sagen wir auch nicht! Mann, Christoph, hör doch auf, so einen Mist zu erzählen! Du weißt ganz genau, dass das nicht stimmt! Meine Güte!;['Demand'];[0.6017540097236633];Christoph Ploß;männlich;CDU/CSU;Dr. Franziska Brantner;GRUENE;weiblich;BT_19_236.xml;;
['Auf', 'Wiedersehen', '!'];Auf Wiedersehen! Tschüs!;['Expressive'];[0.6103555560112];Thomas Seitz;männlich;AfD;Leni Breymaier;SPD;weiblich;BT_19_236.xml;['Expressive'];true
['Tschüs', '!'];Auf Wiedersehen! Tschüs!;['Expressive'];[0.6912685036659241];Thomas Seitz;männlich;AfD;Leni Breymaier;SPD;weiblich;BT_19_236.xml;['Expressive'];true
['Reden'];Reden Sie doch lieber!;['Macro'];[0.6562814116477966];Tobias Matthias Peterka;männlich;AfD;Andreas Bleck;AfD;männlich;BT_19_236.xml;;
['Rede', 'halten', '!'];Rede halten!;['Macro'];[0.9499813318252563];Tobias Matthias Peterka;männlich;AfD;Karsten Hilse;AfD;männlich;BT_19_236.xml;;
['Reden'];Reden Sie doch mal über die Steuern, die die Migranten zahlen!;['Macro'];[0.6562814712524414];Gottfried Curio;männlich;AfD;Canan Bayram;GRUENE;weiblich;BT_19_236.xml;;
['Was', '?'];Was?;['Question-All'];[0.7603422999382019];Ulla Ihnen;weiblich;FDP;Unknown;AfD;;BT_19_237.xml;['Question-All'];true
