utterance_token_list;Sentences;predicted_labels;confidences;next_verbal_interjection;next_nonverbal_interjection;Speaker;Gender;Party;Filename;true_label;utterance
['Er', 'hat', ',', 'um', 'das', 'Angebot', 'des', 'Betreibers', 'auf', '2', 'Milliarden', 'Euro', 'runterzubringen', 'und', 'in', 'den', 'Haushaltsrahmen', 'passend', 'zu', 'machen', ',', 'die', 'Leistungen', 'der', 'Toll', 'Collect', 'eingebaut', ',', 'und', 'das', 'ist', 'nichts', 'anderes', 'als', 'die', 'Veruntreuung', ',', 'die', 'Zweckentfremdung', 'von', 'öffentlichem', 'Geld', '.'];Er hat, um das Angebot des Betreibers auf 2 Milliarden Euro runterzubringen und in den Haushaltsrahmen passend zu machen, die Leistungen der Toll Collect eingebaut, und das ist nichts anderes als die Veruntreuung, die Zweckentfremdung von öffentlichem Geld.;['Accusation', 'Evaluation'];[0.7817721366882324, 0.8461074829101562];False;False;Oliver Krischer;männlich;GRUENE;BT_19_235.xml;['Accusation'];False
['Selbst', 'wenn', 'die', 'Delta-Variante', 'im', 'Indischen', 'Ozean', 'versunken', 'ist', 'und', 'selbst', 'wenn', 'Herr', 'Lauterbach', 'es', 'nicht', 'schafft', ',', 'noch', 'die', 'Epsilon-Variante', 'zu', 'finden', ',', 'wollen', 'Sie', 'immer', 'noch', 'die', 'Grundrechte', 'einschränken', '.'];Selbst wenn die Delta-Variante im Indischen Ozean versunken ist und selbst wenn Herr Lauterbach es nicht schafft, noch die Epsilon-Variante zu finden, wollen Sie immer noch die Grundrechte einschränken.;['Accusation', 'Evaluation'];[0.5181182622909546, 0.8843364715576172];False;False;Wieland Schinnenburg;männlich;FDP;BT_19_236.xml;['Accusation'];True
['Jetzt', 'kommen', 'Sie', 'in', 'Ihrem', 'Antrag', 'mit', 'einer', 'Mogelpackung', ',', 'Frau', 'Bundeskanzler', ',', 'indem', 'Sie', 'uns', 'weismachen', ',', 'wir', 'wollten', 'nur', 'ausgesuchte', 'Personenkreise', 'einreisen', 'lassen', '.'];Jetzt kommen Sie in Ihrem Antrag mit einer Mogelpackung, Frau Bundeskanzler, indem Sie uns weismachen, wir wollten nur ausgesuchte Personenkreise einreisen lassen.;['Accusation', 'Evaluation'];[0.5760517120361328, 0.8261353373527527];False;False;Armin-Paulus Hampel;männlich;AfD;BT_19_238.xml;['Accusation'];True
['Sie', 'wollen', 'eine', '„', 'Mission', 'Quantencomputer', '“', 'zum', 'Erfolg', 'machen', ',', 'teilen', 'die', '2', 'Milliarden', 'Euro', 'aber', 'auf', 'zwei', 'Ressorts', 'auf', ',', 'damit', 'jeder', 'seine', 'eigene', 'Suppe', 'kochen', 'kann', ',', 'statt', 'gemeinsam', 'ressortübergreifend', 'ein', 'erfolgreiches', 'Projekt', 'daraus', 'zu', 'machen', '.'];Sie wollen eine „Mission Quantencomputer“ zum Erfolg machen, teilen die 2 Milliarden Euro aber auf zwei Ressorts auf, damit jeder seine eigene Suppe kochen kann, statt gemeinsam ressortübergreifend ein erfolgreiches Projekt daraus zu machen.;['Accusation', 'Evaluation'];[0.727050244808197, 0.5267686247825623];False;True;Anna Christmann;weiblich;GRUENE;BT_19_237.xml;['Accusation'];True
['Aber', 'diesem', 'Green', 'Deal', 'fehlt', 'der', 'pulsierende', 'Herzschlag', ',', 'ihn', 'auch', 'mit', 'Leben', 'zu', 'füllen', ',', 'weil', 'die', 'größte', 'Regierung', 'dieses', 'Europas', 'das', 'blockiert', '.'];Aber diesem Green Deal fehlt der pulsierende Herzschlag, ihn auch mit Leben zu füllen, weil die größte Regierung dieses Europas das blockiert.;['Accusation', 'Evaluation'];[0.6021878719329834, 0.8785416483879089];False;False;Annalena Baerbock;weiblich;GRUENE;BT_19_236.xml;['Accusation'];True
"['Das', 'Stück', 'aus', 'der', 'Gruft', ',', 'das', 'die', 'CDU/CSU', 'gerade', 'aufführt', ',', 'ist', 'ja', 'ein', 'Totentanz', 'der', 'politisch', 'Untoten', ',', 'der', 'hier', 'stattfindet', ',', 'mit', 'roten', 'Socken', 'und', 'so', ';']";"Das Stück aus der Gruft, das die CDU/CSU gerade aufführt, ist ja ein Totentanz der politisch Untoten, der hier stattfindet, mit roten Socken und so;";['Accusation', 'Evaluation'];[0.77950519323349, 0.8785362243652344];False;False;Jan Korte;männlich;DIE LINKE;BT_19_239.xml;['Accusation'];True
['Mit', 'beiden', 'Beinen', 'haben', 'Sie', 'die', 'gesamte', 'Legislatur', 'über', 'auf', 'der', 'Bremse', 'gestanden', ',', 'wenn', 'es', 'um', 'faire', 'Entlohnung', ',', 'wenn', 'es', 'um', 'gute', 'Arbeitsbedingungen', 'und', 'wenn', 'es', 'um', 'angemessene', 'Renten', 'gegangen', 'ist', '.'];Mit beiden Beinen haben Sie die gesamte Legislatur über auf der Bremse gestanden, wenn es um faire Entlohnung, wenn es um gute Arbeitsbedingungen und wenn es um angemessene Renten gegangen ist.;['Accusation', 'Evaluation'];[0.6743296384811401, 0.8584384918212891];False;False;Yasmin Fahimi;weiblich;SPD;BT_19_239.xml;['Accusation'];True
"['Dieses', 'Verschweigen', 'passt', 'nahtlos', 'zur', 'Anbiederung', 'an', 'den', 'Iran', ';', 'denn', 'den', 'Judenhass', 'des', 'islamischen', 'Mullah-Regimes', 'haben', 'die', 'Altparteien', 'bisher', 'auch', 'beschwiegen', '.']";"Dieses Verschweigen passt nahtlos zur Anbiederung an den Iran; denn den Judenhass des islamischen Mullah-Regimes haben die Altparteien bisher auch beschwiegen.";['Accusation', 'Evaluation'];[0.5533024072647095, 0.9035206437110901];False;False;Jürgen Braun;männlich;AfD;BT_19_237.xml;['Accusation'];True
['Einmal', 'mehr', 'hat', 'sich', 'eine', 'korrupte', 'Elite', 'der', 'Religion', 'bemächtigt', ',', 'sie', 'missbraucht', ',', 'um', 'die', 'eigenen', 'Gewaltfantasien', 'und', 'die', 'eigenen', 'Profitinteressen', 'auszuleben', '.'];Einmal mehr hat sich eine korrupte Elite der Religion bemächtigt, sie missbraucht, um die eigenen Gewaltfantasien und die eigenen Profitinteressen auszuleben.;['Accusation', 'Evaluation'];[0.714531421661377, 0.8362633585929871];False;False;Michael Brand;männlich;CDU/CSU;BT_19_237.xml;['Accusation'];True
"['Wir', 'wollten', 'auch', 'klarstellen', ',', 'dass', 'es', 'unschädlich', 'ist', ',', 'dass', 'sich', 'genau', 'solche', 'Organisationen', 'auch', 'politisch', 'einmischen', 'und', 'ihre', 'Meinung', 'sagen', ';', 'das', 'zu', 'regeln', ',', 'haben', 'Sie', 'leider', 'im', 'Jahressteuergesetz', 'verhindert', '.']";"Wir wollten auch klarstellen, dass es unschädlich ist, dass sich genau solche Organisationen auch politisch einmischen und ihre Meinung sagen; das zu regeln, haben Sie leider im Jahressteuergesetz verhindert.";['Accusation', 'Evaluation'];[0.687091588973999, 0.6408519148826599];False;False;Michael Schrodi;männlich;SPD;BT_19_237.xml;['Accusation'];True
