Filename;Period;Date;Item;Speech #;Paragraph #;Speaker;Role;Gender;Party;Sentences;Mentioned parties;Interjection Type;Interjecting Party;Interjecting Person;Interjection Content;Specific Class;Sentence Class (Reinig);Interjection Class (Burkhardt);Sentence finished
BT_19_235.xml;19;23.06.2021;FragestundeDrucksache 19/30797Dr. Anton Friesen (AfD)Aufnahme von Ausländern aus völkerrechtlichen bzw. dringenden humanitären Gründen seit 2014AntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenDr. Anton Friesen (AfD)Dr. Rainer Kraft (AfD)Stephan Brandner (AfD)Bilanz der Arbeit des Bundesinnenministers in der 19. WahlperiodeAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenStephan Brandner (AfD)Dr. Rainer Kraft (AfD)Beatrix von Storch (AfD)Stephan Brandner (AfD)Ausgestaltung des Austauschformats zwischen Sicherheitsbehörden und zivilgesellschaftlichen Akteuren im Bereich RechtsextremismuspräventionAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenStephan Brandner (AfD)Renate Künast (BÜNDNIS 90/DIE GRÜNEN)Britta Haßelmann (BÜNDNIS 90/DIE GRÜNEN)Ansiedlung von Bundesbehörden und Ressortforschungseinrichtungen in Kommunen mit weniger als 20 000 EinwohnernAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenBritta Haßelmann (BÜNDNIS 90/DIE GRÜNEN)Dr. Rainer Kraft (AfD)Friedrich Straetmanns (DIE LINKE)Tobias Matthias Peterka (AfD)Mögliche Maßnahmen zur Verstärkung der GrenzsicherungAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenTobias Matthias Peterka (AfD)Stefan Keuter (AfD)Stephan Brandner (AfD)Dr. Rainer Kraft (AfD)Tobias Matthias Peterka (AfD)Gründe für die Fortsetzung des Abschiebestopps nach SyrienAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenTobias Matthias Peterka (AfD)Stefan Keuter (AfD)Stephan Brandner (AfD)Dr. Janosch Dahmen (BÜNDNIS 90/DIE GRÜNEN)Schaffung einer zentralen Qualitätssicherung und einheitlicher Standards für die bundeseigenen ZivilschutzhubschrauberAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenDr. Janosch Dahmen (BÜNDNIS 90/DIE GRÜNEN)Dr. Rainer Kraft (AfD)Einbindung des Bundesamts für Bevölkerungsschutz und Katastrophenhilfe in die Maßnahmen im Zusammenhang mit der CoronapandemieAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenDr. Rainer Kraft (AfD)Dr. Janosch Dahmen (BÜNDNIS 90/DIE GRÜNEN);32558;2;Renate Künast;mp;weiblich;GRUENE;Rechtsextremismus und die Verbreitung von Hass über digitale Medien werden meines Erachtens auch von einer hier anwesenden Partei, nämlich der AfD und ihren Mitgliedern, unterstützt.;AfD;Verbal;AfD;Dr. Götz Frömming;Unsinn!;Zuruf;Accusation;Evaluativa;True
BT_19_235.xml;19;23.06.2021;FragestundeDrucksache 19/30797Dr. Anton Friesen (AfD)Aufnahme von Ausländern aus völkerrechtlichen bzw. dringenden humanitären Gründen seit 2014AntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenDr. Anton Friesen (AfD)Dr. Rainer Kraft (AfD)Stephan Brandner (AfD)Bilanz der Arbeit des Bundesinnenministers in der 19. WahlperiodeAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenStephan Brandner (AfD)Dr. Rainer Kraft (AfD)Beatrix von Storch (AfD)Stephan Brandner (AfD)Ausgestaltung des Austauschformats zwischen Sicherheitsbehörden und zivilgesellschaftlichen Akteuren im Bereich RechtsextremismuspräventionAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenStephan Brandner (AfD)Renate Künast (BÜNDNIS 90/DIE GRÜNEN)Britta Haßelmann (BÜNDNIS 90/DIE GRÜNEN)Ansiedlung von Bundesbehörden und Ressortforschungseinrichtungen in Kommunen mit weniger als 20 000 EinwohnernAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenBritta Haßelmann (BÜNDNIS 90/DIE GRÜNEN)Dr. Rainer Kraft (AfD)Friedrich Straetmanns (DIE LINKE)Tobias Matthias Peterka (AfD)Mögliche Maßnahmen zur Verstärkung der GrenzsicherungAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenTobias Matthias Peterka (AfD)Stefan Keuter (AfD)Stephan Brandner (AfD)Dr. Rainer Kraft (AfD)Tobias Matthias Peterka (AfD)Gründe für die Fortsetzung des Abschiebestopps nach SyrienAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenTobias Matthias Peterka (AfD)Stefan Keuter (AfD)Stephan Brandner (AfD)Dr. Janosch Dahmen (BÜNDNIS 90/DIE GRÜNEN)Schaffung einer zentralen Qualitätssicherung und einheitlicher Standards für die bundeseigenen ZivilschutzhubschrauberAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenDr. Janosch Dahmen (BÜNDNIS 90/DIE GRÜNEN)Dr. Rainer Kraft (AfD)Einbindung des Bundesamts für Bevölkerungsschutz und Katastrophenhilfe in die Maßnahmen im Zusammenhang mit der CoronapandemieAntwortVolkmar Vogel, Parl. Staatssekretär BMIZusatzfragenDr. Rainer Kraft (AfD)Dr. Janosch Dahmen (BÜNDNIS 90/DIE GRÜNEN);32558;2;Renate Künast;mp;weiblich;GRUENE;Rechtsextremismus und die Verbreitung von Hass über digitale Medien werden meines Erachtens auch von einer hier anwesenden Partei, nämlich der AfD und ihren Mitgliedern, unterstützt.;AfD;Verbal;AfD;Dr. Rainer Kraft;Unverschämte Behauptung!;Zuruf;Accusation;Evaluativa;True
BT_19_235.xml;19;23.06.2021;Antrag der Abgeordneten Hagen Reinhold, Frank Sitta, Grigorios Aggelidis, weiterer Abgeordneter und der Fraktion der FDP: Durch Subjektförderung den Lock-In überwinden und neuen Wohnraum schaffen – nachfrageorientiert, ökologisch und effizient;32594;11;Udo Theodor Hemmelgarn;mp;männlich;AfD;Dass es Die Linke mit der sozialen Marktwirtschaft, mit dem Privateigentum nicht hat, zeigt sie mit einem echten Highlight ihres Antrags, dem Entwurf der Linken zur Änderung des Grundgesetzes.;DIE LINKE;Verbal;DIE LINKE;Niema Movassat;Sehr guter Entwurf!;Zuruf;Accusation;Memoranda;True
BT_19_235.xml;19;23.06.2021;Antrag der Abgeordneten Hagen Reinhold, Frank Sitta, Grigorios Aggelidis, weiterer Abgeordneter und der Fraktion der FDP: Durch Subjektförderung den Lock-In überwinden und neuen Wohnraum schaffen – nachfrageorientiert, ökologisch und effizient;32594;12;Udo Theodor Hemmelgarn;mp;männlich;AfD;Die Linken möchten, dass jeder einen einklagbaren Anspruch auf menschenwürdigen und einkommensgerechten Wohnraum hat.;DIE LINKE;Verbal;DIE LINKE;Niema Movassat;Da kippt die AfD um, wenn sie das hört!;Zuruf;Report;Memoranda;True
BT_19_235.xml;19;23.06.2021;Antrag der Abgeordneten Hagen Reinhold, Frank Sitta, Grigorios Aggelidis, weiterer Abgeordneter und der Fraktion der FDP: Durch Subjektförderung den Lock-In überwinden und neuen Wohnraum schaffen – nachfrageorientiert, ökologisch und effizient;32594;18;Udo Theodor Hemmelgarn;mp;männlich;AfD;Zu all dem haben Sie, die Linken, Beifall geklatscht.;DIE LINKE;Verbal;DIE LINKE;Niema Movassat;Haben Sie eigentlich eine andere Antwort außer „Der Ausländer ist schuld“, außer Rassismus?;Zuruf;Report;Memoranda;True
BT_19_235.xml;19;23.06.2021;Beschlussempfehlung und Bericht des 2. Untersuchungsausschusses der 19. Wahlperiode gemäß Artikel 44 des Grundgesetzes;32612;25;Ulrich Lange;mp;männlich;CDU/CSU;– Ja, das ist den Applaus wert, nicht nur den der SPD.;SPD;Nonverbal;SPD;all;;Beifall;Request;;True
BT_19_235.xml;19;23.06.2021;Beschlussempfehlung und Bericht des Ausschusses für Inneres und Heimat zu dem Antrag der Abgeordneten Luise Amtsberg, Agnieszka Brugger, Omid Nouripour, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/DIE GRÜNEN: Verantwortung anerkennen – Gruppenverfahren zur Aufnahme afghanischer Ortskräfte einführen;32617;1;Ulla Jelpke;mp;weiblich;DIE LINKE;Dafür braucht es jetzt dringend ein einfaches Verfahren, weshalb wir dem Antrag der Grünen zustimmen.;GRUENE;Nonverbal;GRUENE;all;;Beifall;Support;;True
BT_19_236.xml;19;24.06.2021;Abgabe einer Regierungserklärung durch die Bundeskanzlerin zum Europäischen Rat am 24. und 25. Juni 2021;32626;2;Christian Lindner;mp;männlich;FDP;Eine wesentliche Fehlentscheidung hat sie aber vergessen, nämlich die Fehlentscheidung des AfD-Bundesparteitags, dass Deutschland aus der Europäischen Union austreten soll.;AfD;Verbal;AfD;Dr. Harald Weyel;;Zuruf;Accusation;;True
BT_19_236.xml;19;24.06.2021;Antrag der Abgeordneten Manfred Todtenhausen, Michael Theurer, Grigorios Aggelidis, weiterer Abgeordneter und der Fraktion der FDP: Baustelle Handwerk – Aufbruch für Investitionen, Konjunktur und Beschäftigung in der Zeit nach Corona;32636;1;Andreas Rimkus;mp;männlich;SPD;Danke schön, übrigens, liebe FDP.;FDP;Nonverbal;FDP;all;;Beifall;Expressive;;True
BT_19_236.xml;19;24.06.2021;Antrag der Abgeordneten Manfred Todtenhausen, Michael Theurer, Grigorios Aggelidis, weiterer Abgeordneter und der Fraktion der FDP: Baustelle Handwerk – Aufbruch für Investitionen, Konjunktur und Beschäftigung in der Zeit nach Corona;32637;7;Alexander Ulrich;mp;männlich;DIE LINKE;Wenn es nach der FDP ginge, wäre Kurzarbeit nicht finanzierbar gewesen,;FDP;Verbal;FDP;Christian Dürr;Aber genau das will Herr Bartsch ja auch!;Zuruf;Accusation;Memoranda;False
