Filename;Period;Date;Item;Speech #;Paragraph #;Speaker;Role;Gender;Party;Sentences;Mentioned parties;Interjection Type;Interjecting Party;Interjecting Person;Interjection Content;Specific Class;Sentence Class (Reinig);Interjection Class (Burkhardt);Sentence finished
BT_19_235.xml;19;23.06.2021;Befragung der Bundesregierung;32527;4;Katja Mast;mp;weiblich;SPD;Wir von der SPD lehnen dies ab.;['SPD'];Nonverbal;SPD;all;;Beifall;Rejection;;True
BT_19_235.xml;19;23.06.2021;Beratung der Unterrichtung der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt: Bericht der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt;32580;14;Nicole Höchst;mp;weiblich;AfD;Man möchte die Alternative für Deutschland so unsichtbar wie möglich machen und verwehrt ihr unter fadenscheinigsten Vorwänden einen Bundestagsvizepräsidenten,;['AfD'];Verbal;SPD;Marianne Schieder;Alternative für Deutschland? Schrecken für Deutschland!;Zuruf;Accusation;Evaluativa;False
BT_19_235.xml;19;23.06.2021;Beratung der Unterrichtung der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt: Bericht der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt;32580;14;Nicole Höchst;mp;weiblich;AfD;Man möchte die Alternative für Deutschland so unsichtbar wie möglich machen und verwehrt ihr unter fadenscheinigsten Vorwänden einen Bundestagsvizepräsidenten,;['AfD'];Verbal;SPD;Dr. Karamba Diaby;Reden Sie zum Thema! Was hat denn das mit dem Thema zu tun?;Zuruf;Accusation;Memoranda;False
BT_19_235.xml;19;23.06.2021;Beratung der Unterrichtung der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt: Bericht der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt;32580;18;Nicole Höchst;mp;weiblich;AfD;Man maß zudem bei Anträgen im Zusammenhang mit der Enquete mit zweierlei Maß und lehnte letztlich einen AfD-Antrag ab, der eine Forderung des Deutschen Industrie- und Handelskammertages aus dem Jahr 2017 ist und der – jetzt kommt’s – als Konsens-Handlungsempfehlung Eingang in den Bericht gefunden hat.;['AfD'];Verbal;DIE LINKE;Nicole Gohlke;;Zuruf;Accusation, Report;;True
BT_19_235.xml;19;23.06.2021;Beratung der Unterrichtung der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt: Bericht der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt;32580;18;Nicole Höchst;mp;weiblich;AfD;Man maß zudem bei Anträgen im Zusammenhang mit der Enquete mit zweierlei Maß und lehnte letztlich einen AfD-Antrag ab, der eine Forderung des Deutschen Industrie- und Handelskammertages aus dem Jahr 2017 ist und der – jetzt kommt’s – als Konsens-Handlungsempfehlung Eingang in den Bericht gefunden hat.;['AfD'];Verbal;GRUENE;Ulle Schauws;;Zuruf;Accusation, Report;;True
BT_19_235.xml;19;23.06.2021;Beratung der Unterrichtung der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt: Bericht der Enquete-Kommission Berufliche Bildung in der digitalen Arbeitswelt;32583;2;Birke Bull-Bischoff;mp;weiblich;DIE LINKE;Genau deshalb war und ist das einer der Schwerpunkte von uns Linken.;['DIE LINKE'];Nonverbal;DIE LINKE;all;;Beifall;Self-Representation;;True
BT_19_235.xml;19;23.06.2021;Antrag der Abgeordneten Hagen Reinhold, Frank Sitta, Grigorios Aggelidis, weiterer Abgeordneter und der Fraktion der FDP: Durch Subjektförderung den Lock-In überwinden und neuen Wohnraum schaffen – nachfrageorientiert, ökologisch und effizient;32592;6;Caren Lay;mp;weiblich;DIE LINKE;Wir als Linke wollen 10 Milliarden Euro jährlich investieren, damit 250 000 soziale und gemeinnützige Wohnungen im Jahr entstehen können.;['DIE LINKE'];Nonverbal;DIE LINKE;all;;Beifall;Self-Representation;;True
BT_19_235.xml;19;23.06.2021;Antrag der Abgeordneten Hagen Reinhold, Frank Sitta, Grigorios Aggelidis, weiterer Abgeordneter und der Fraktion der FDP: Durch Subjektförderung den Lock-In überwinden und neuen Wohnraum schaffen – nachfrageorientiert, ökologisch und effizient;32594;8;Udo Theodor Hemmelgarn;mp;männlich;AfD;Es ist bekannt, dass die AfD nicht zu den größten Fans des sozialen Wohnungsbaus gehört.;['AfD'];Verbal;DIE LINKE;Nicole Gohlke;;Zuruf;Report;;True
BT_19_235.xml;19;23.06.2021;Antrag der Abgeordneten Hagen Reinhold, Frank Sitta, Grigorios Aggelidis, weiterer Abgeordneter und der Fraktion der FDP: Durch Subjektförderung den Lock-In überwinden und neuen Wohnraum schaffen – nachfrageorientiert, ökologisch und effizient;32594;10;Udo Theodor Hemmelgarn;mp;männlich;AfD;Die AfD setzt deshalb auf die Kräfte der sozialen Marktwirtschaft, die unserem Land eine lange Zeit des Wohlstands beschert haben und das auch in Zukunft tun könnten, wenn die Politik die richtigen Rahmenbedingungen schafft.;['AfD'];Verbal;DIE LINKE;Niema Movassat;Sie haben bisher keinen einzigen Lösungsvorschlag gebracht!;Zuruf;Self-Representation;Evaluativa;True
BT_19_235.xml;19;23.06.2021;Antrag der Abgeordneten Hagen Reinhold, Frank Sitta, Grigorios Aggelidis, weiterer Abgeordneter und der Fraktion der FDP: Durch Subjektförderung den Lock-In überwinden und neuen Wohnraum schaffen – nachfrageorientiert, ökologisch und effizient;32596;10;Hagen Reinhold;mp;männlich;FDP;Das ist ein Konzept, wie es nur die FDP kann: lösungsorientiert, ideologiefrei;['FDP'];Nonverbal;SPD;Yasmin Fahimi;;Lachen;Self-Representation;;False
BT_19_235.xml;19;23.06.2021;Beschlussempfehlung und Bericht des 2. Untersuchungsausschusses der 19. Wahlperiode gemäß Artikel 44 des Grundgesetzes;32605;9;Wolfgang Wiehle;mp;männlich;AfD;Deshalb lässt die AfD-Fraktion an dieser Stelle nicht locker.;['AfD'];Nonverbal;AfD;all;;Beifall;Self-Representation;;True
